title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
1bdrm Apartment in Lokogoma Express for sale,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),85000000.0,enterprise,800.0,1.0,2.0,Unfurnished
"3bdrm Bungalow in Forte Royal Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),160000000.0,enterprise,500.0,3.0,4.0,Unfurnished
"5bdrm Duplex in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),600000000.0,enterprise,850.0,5.0,6.0,Unfurnished
6bdrm Mansion in Guzape for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),3000000000.0,enterprise,2000.0,6.0,5.0,Semi-Furnished
"Furnished 5bdrm Duplex in Efab Metropolis, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),350000000.0,enterprise,750.0,5.0,5.0,Furnished
7bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,3000000000.0,enterprise,3000.0,7.0,5.0,Semi-Furnished
5bdrm Duplex in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,500000000.0,enterprise,1000.0,5.0,6.0,Semi-Furnished
"Furnished 7bdrm Duplex in Mab Global Estate, for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),500000000.0,enterprise,750.0,7.0,5.0,Furnished
5bdrm Duplex in Gwarinpa Main Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),650000000.0,enterprise,1500.0,5.0,6.0,Semi-Furnished
5bdrm Duplex in Jahi By Gilmore for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),420000000.0,enterprise,1800.0,5.0,6.0,Semi-Furnished
"4bdrm Duplex in Gwarimpa Abuja, Gwarinpa for sale","Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),220000000.0,enterprise,2000.0,4.0,5.0,Semi-Furnished
Furnished 3bdrm Bungalow in Citec Mbora for sale,"Abuja (FCT), Mbora",Mbora,Abuja (FCT),240000000.0,enterprise,700.0,3.0,4.0,Furnished
"8bdrm Mansion in River Park Estate, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),455000000.0,enterprise,1308.0,8.0,9.0,Unfurnished
4bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,130000000.0,diamond,250.0,4.0,4.0,Unfurnished
"3bdrm Duplex in Sunshine Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Ajah,85000000.0,diamond,150.0,3.0,3.0,Unfurnished
Furnished 5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,650000000.0,diamond,350.0,5.0,5.0,Furnished
4bdrm Duplex in Igbo-efon for sale,"Lekki, Igbo-efon",Igbo-efon,Lekki,200000000.0,diamond,150.0,4.0,4.0,Unfurnished
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,280000000.0,diamond,250.0,5.0,5.0,Unfurnished
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,460000000.0,diamond,250.0,5.0,5.0,Unfurnished
5bdrm Duplex in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,200000000.0,diamond,300.0,5.0,5.0,Unfurnished
2bdrm Block of Flats in Ilasan for sale,"Lekki, Ilasan",Ilasan,Lekki,220000000.0,diamond,150.0,2.0,2.0,Unfurnished
3bdrm Apartment in Banana Island for sale,"Ikoyi, Banana Island",Banana Island,Ikoyi,850000000.0,diamond,150.0,3.0,3.0,Unfurnished
5bdrm Duplex in Ado / Ajah for sale,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,280000000.0,diamond,300.0,5.0,5.0,Unfurnished
4bdrm Duplex in Thomas Estate for sale,"Ajah, Thomas Estate",Thomas Estate,Ajah,165000000.0,diamond,300.0,4.0,4.0,Unfurnished
4bdrm Duplex in Ikota Villa for sale,"Lekki, Ikota",Ikota,Lekki,200000000.0,diamond,300.0,4.0,4.0,Unfurnished
4bdrm Duplex in Ikota Villa for sale,"Lekki, Ikota",Ikota,Lekki,140000000.0,diamond,300.0,4.0,4.0,Unfurnished
4bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,140000000.0,diamond,200.0,4.0,4.0,Unfurnished
4bdrm Duplex in Olokonla for sale,"Ajah, Olokonla",Olokonla,Ajah,135000000.0,diamond,150.0,4.0,4.0,Unfurnished
4bdrm Duplex in Igbo-efon for sale,"Lekki, Igbo-efon",Igbo-efon,Lekki,350000000.0,diamond,150.0,4.0,4.0,Unfurnished
4bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,90000000.0,diamond,250.0,4.0,4.0,Unfurnished
5bdrm Duplex in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,670000000.0,diamond,400.0,5.0,5.0,Unfurnished
Furnished 3bdrm Apartment in Osborne Foreshore Estate for sale,"Ikoyi, Osborne Foreshore Estate",Osborne Foreshore Estate,Ikoyi,400000000.0,diamond,150.0,3.0,3.0,Furnished
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,400000000.0,diamond,250.0,5.0,5.0,Unfurnished
3bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,250000000.0,diamond,150.0,3.0,3.0,Unfurnished
3bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,95000000.0,diamond,150.0,3.0,3.0,Unfurnished
5bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,160000000.0,diamond,150.0,5.0,5.0,Unfurnished
7bdrm Duplex in Efab Metropolis for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),500000000.0,enterprise,1050.0,7.0,5.0,Semi-Furnished
Furnished 4bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,850000000.0,enterprise,2000.0,4.0,5.0,Furnished
Furnished 9bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),2000000000.0,enterprise,,9.0,5.0,Furnished
